Player_ID,Player_Name,Position,Season_Year,Team_name
0861a57d-b468-4c21-ba3a-7523b6838ed0,Lawrence Guy,DT,2017,Patriots
0ad845ff-44e8-4576-bc91-61b557e06f05,Kyle Van Noy,OLB,2017,Patriots
0ca741f8-58bd-4933-9d5c-0e04de3f4cff,Martellus Bennett,TE,2017,Patriots
13f716fb-7249-4b0a-9858-8af8cb83f78b,Jordan Richards,SS,2017,Patriots
2142a164-48ad-47d6-bb27-0bc58c6b2e62,Rob Gronkowski,TE,2017,Patriots
248b6e0b-bb1b-4dd7-8eb2-b5f7e98c77b1,Cameron Fleming,T,2017,Patriots
2516f9e7-9927-409d-adbe-b32d680ae71d,Deatrich Wise,DE,2017,Patriots
30b045f1-b8e4-4ae9-b062-5181847b508c,Eric Rowe,CB,2017,Patriots
39f70428-a78a-494c-8676-438d953c289e,James White,RB,2017,Patriots
3a0c7a30-c924-4bfa-a844-14eb394969da,Bernard Reedy,WR,2017,Patriots
3a3a9ed8-e941-49cf-bc32-331424d0bd42,Cole Croston,T,2017,Patriots
41c44740-d0f6-44ab-8347-3b5d515e5ecf,Tom Brady,QB,2017,Patriots
42de9d1d-0352-460b-9172-9452414fd7fd,Jimmy Garoppolo,QB,2017,Patriots
45039bcf-634a-48a7-8102-f0131491cf66,LaAdrian Waddle,T,2017,Patriots
4ee0937c-1250-4456-93d4-2d6afa064d5a,Joe Thuney,G,2017,Patriots
537c88d4-c403-43f4-94a1-fdccea0ee24a,Jonathan Jones,CB,2017,Patriots
54814199-dd18-408f-9dc4-ce59a121431b,Adam Butler,DT,2017,Patriots
57deb6ba-ce26-4ccc-a859-adf0564fb78e,Trey Flowers,DE,2017,Patriots
64e89f8b-3e8f-4e07-bb73-c48f2a1dd8e2,Patrick Chung,SS,2017,Patriots
7830196e-cdca-4b86-bee2-eae97de2ee26,Ted Karras,C,2017,Patriots
7f911008-146b-43e9-a292-9ad90c621087,Malcom Brown,DT,2017,Patriots
869882c4-728a-4349-8294-ffa32b5a4f31,Kenny Britt,WR,2017,Patriots
88d2dbf4-3b9f-43ea-bac6-a8722cb24f43,Devin McCourty,FS,2017,Patriots
