timestamp,height,rookie_year,weight
1554604240,77,0.0,229.0
1554604240,75,0.0,223.0
1554604240,77,2014.0,236.0
1554604240,73,2012.0,205.0
1554604240,75,2018.0,211.0
1554604240,74,2014.0,215.0
1554604240,79,2016.0,244.0
1554604240,76,2014.0,230.0
1554604240,71,2017.0,216.0
1554604240,77,2013.0,210.0
1554604240,76,1998.0,235.0
1554604240,76,2008.0,217.0
1554604240,77,2006.0,226.0
1554604240,74,2017.0,221.0
1554604240,77,2013.0,225.0
1554604240,74,2010.0,219.0
1554604240,74,2011.0,229.0
1554604240,76,2013.0,237.0
1554604240,76,2015.0,231.0
1554604240,75,2018.0,205.0
1554604240,75,2002.0,230.0
1554604240,76,2017.0,215.0
1554604240,74,2014.0,218.0
1554604240,75,2014.0,225.0
1554604240,75,2017.0,222.0
1554604240,76,2011.0,217.0
1554604240,76,2016.0,235.0
1554604240,78,2013.0,229.0
1554604240,77,2004.0,228.0
1554604240,74,2017.0,225.0
1554604240,76,2014.0,230.0
1554604240,78,2004.0,245.0
1554604240,72,2001.0,215.0
1554604240,73,2011.0,215.0
1554604240,77,2005.0,215.0
1554604240,74,2013.0,223.0
1554604240,76,2017.0,218.0
1554604240,77,2013.0,230.0
1554604240,78,2016.0,227.0
1554604240,74,2017.0,215.0
1554604240,75,2008.0,222.0
1554604240,75,2016.0,212.0
1554604240,76,2000.0,225.0
1554604240,74,2009.0,215.0
1554604240,76,2016.0,217.0
1554604240,75,2007.0,243.0
1554604240,75,2012.0,202.0
1554604240,76,2018.0,220.0
1554604240,75,2010.0,225.0
1554604240,75,2015.0,220.0
1554604240,77,2016.0,250.0
1554604240,76,2016.0,228.0
1554604240,73,2013.0,210.0
1554604240,72,2001.0,209.0
1554604240,71,2012.0,215.0
1554604240,74,2011.0,215.0
1554604240,75,2015.0,230.0
1554604240,74,2012.0,222.0
1554604240,78,2009.0,248.0
1554604240,76,2011.0,235.0
1554604240,72,2009.0,225.0
1554604240,73,2018.0,220.0
1554604240,76,2013.0,225.0
1554604240,76,2010.0,224.0
1554604240,75,2012.0,228.0
1554604240,77,2018.0,230.0
1554604240,73,2010.0,215.0
1554604240,76,2012.0,216.0
1554604240,72,2016.0,213.0
1554604240,75,2017.0,230.0
1554604240,75,2013.0,221.0
1554604240,78,2008.0,245.0
1554604240,75,2011.0,225.0
1554604240,75,2018.0,215.0
1554604240,76,2010.0,230.0
1554604240,76,2016.0,231.0
1554604240,73,2015.0,210.0
1554604240,74,2012.0,221.0
1554604240,73,2017.0,210.0
1554604240,75,2016.0,212.0
1554604240,76,2018.0,225.0
1554604240,74,2017.0,221.0
1554604240,76,2017.0,233.0
1554604240,74,2010.0,210.0
1554604240,74,2005.0,223.0
1554604240,76,2018.0,205.0
1554604240,77,2014.0,235.0
1554604240,75,2014.0,225.0
1554604240,75,2017.0,228.0
1554604240,77,2004.0,240.0
1554604240,75,2013.0,221.0
1554604240,74,2012.0,222.0
1554604240,73,2006.0,220.0
1554604240,76,2012.0,220.0
1554604240,77,2016.0,237.0
1554604240,72,2012.0,200.0
1554604240,74,2015.0,220.0
1554604240,75,2014.0,214.0
1554604240,75,2012.0,232.0
1554604240,73,2014.0,219.0
1554604240,74,2011.0,220.0
1554604240,76,2005.0,217.0
1554604240,77,2018.0,240.0
1554604240,73,2016.0,216.0
1554604240,74,2014.0,225.0
1554604240,74,2003.0,230.0
1554604240,76,2018.0,233.0
1554604240,74,2005.0,225.0
1554604240,78,2005.0,235.0
1554604240,75,2007.0,219.0
1554604240,77,2003.0,235.0
1554604240,74,2009.0,232.0
1554604240,76,2005.0,228.0
1554604240,78,2012.0,243.0
1554604240,79,2012.0,240.0
1554604240,77,2017.0,229.0
1554604240,76,2016.0,223.0
1554604240,74,2006.0,220.0
1554604240,76,2015.0,222.0
1554604240,78,2015.0,231.0
1554604240,73,2016.0,215.0
1554604240,74,2013.0,227.0
1554604240,76,2018.0,220.0
1554604240,76,2012.0,240.0
1554604240,75,2016.0,218.0
1554604240,75,2015.0,226.0
1554604240,76,2018.0,218.0
1554604240,76,2018.0,223.0
1554604240,75,2008.0,198.0
1554604240,75,2014.0,220.0
1554604240,74,2016.0,214.0
1554604240,78,2011.0,250.0
1554604240,77,2011.0,245.0
1554604240,73,2014.0,210.0
1554604240,75,2009.0,220.0
1554604240,75,2018.0,215.0
1554604240,74,2008.0,225.0
1554604240,77,2014.0,224.0
1554604240,74,2017.0,224.0
1554604240,76,2004.0,218.0
1554604240,74,2016.0,238.0
1554604240,73,2014.0,210.0
1554604240,75,2015.0,218.0
1554604240,75,2017.0,216.0
1554604240,75,2012.0,210.0
1554604240,77,1998.0,230.0
1554604240,78,2013.0,215.0
1554604240,72,2014.0,210.0
1554604240,75,2006.0,231.0
1554604240,76,2002.0,218.0
1554604240,74,2006.0,225.0
1554604240,76,2004.0,217.0
1554604240,76,2011.0,230.0
