Conference,Division,Losses,Points_against,Points_for,Points_rank,Season_Type,Season_Year,Team_ID,Team_Name,Ties,Touchdown_diff,Win_pct,Wins
AFC,AFC East,3,296,458,7,REG,2017,97354895-8c77-4fd4-a860-32e62ea7382a,Patriots,0,16,0.813,13
AFC,AFC East,7,359,302,40,REG,2017,768c92aa-75ff-4a43-bcc0-f2798c2e1724,Bills,0,-7,0.563,9
AFC,AFC East,10,393,281,57,REG,2017,4809ecb0-abd3-451d-9c4a-92a90b83ca06,Dolphins,0,-14,0.375,6
AFC,AFC East,11,382,298,46,REG,2017,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,Jets,0,-14,0.313,5
AFC,AFC North,3,308,406,15,REG,2017,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,Steelers,0,7,0.813,13
AFC,AFC North,7,303,395,15,REG,2017,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,Ravens,0,10,0.563,9
AFC,AFC North,9,349,290,42,REG,2017,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,Bengals,0,-1,0.438,7
AFC,AFC North,16,410,234,63,REG,2017,d5a2eb42-8065-4174-ab79-0a6fa820e35e,Browns,0,-21,0.0,0
AFC,AFC South,6,268,417,7,REG,2017,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,Jaguars,0,18,0.625,10
AFC,AFC South,7,356,334,36,REG,2017,d26a1ca5-722d-4274-8f97-c92e49c96315,Titans,0,-3,0.563,9
AFC,AFC South,12,404,263,60,REG,2017,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,Colts,0,-19,0.25,4
AFC,AFC South,12,436,338,49,REG,2017,82d2d380-3834-4938-835f-aec541e5ece7,Texans,0,-8,0.25,4
AFC,AFC West,6,339,415,21,REG,2017,6680d28d-d4d2-49f6-aace-5292d3ec02c2,Chiefs,0,3,0.625,10
AFC,AFC West,7,272,355,16,REG,2017,1f6dcffb-9823-43cd-9ff4-e7a8466749b5,Chargers,0,14,0.563,9
AFC,AFC West,10,373,301,43,REG,2017,1c1cec48-6352-4556-b789-35304c1a6ae1,Raiders,0,-3,0.375,6
AFC,AFC West,11,382,289,49,REG,2017,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,Broncos,0,-13,0.313,5
NFC,NFC East,3,295,457,7,REG,2017,386bdbf9-9eea-4869-bb9a-274b0bc66e80,Eagles,0,19,0.813,13
NFC,NFC East,7,332,354,27,REG,2017,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,Cowboys,0,2,0.563,9
NFC,NFC East,9,388,342,43,REG,2017,22052ff7-c065-42ee-bc8f-c4691c50e624,Redskins,0,-2,0.438,7
NFC,NFC East,13,388,246,58,REG,2017,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,Giants,0,-16,0.188,3
NFC,NFC North,3,252,382,11,REG,2017,33405046-04ee-4058-a950-d606f8c30852,Vikings,0,17,0.813,13
NFC,NFC North,7,376,410,28,REG,2017,c5a59daa-53a7-4de0-851f-fb12be893e9e,Lions,0,2,0.563,9
NFC,NFC North,9,384,320,47,REG,2017,a20471b4-a8d9-40c7-95ad-90cc30e46932,Packers,0,-2,0.438,7
NFC,NFC North,11,320,264,38,REG,2017,7b112545-38e6-483c-a55c-96cf6ee49cb8,Bears,0,-2,0.313,5
NFC,NFC South,5,326,448,14,REG,2017,0d855753-ea21-4953-89f9-0e20aff9eb73,Saints,0,15,0.688,11
NFC,NFC South,5,327,363,23,REG,2017,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,Panthers,0,6,0.688,11
NFC,NFC South,6,315,353,23,REG,2017,e6aa13a4-0055-48a9-bc41-be28dc106929,Falcons,0,3,0.625,10
NFC,NFC South,11,382,335,40,REG,2017,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,Buccaneers,0,-6,0.313,5
NFC,NFC West,5,329,478,13,REG,2017,2eff2a03-54d4-46ba-890e-2bc3925548f3,Rams,0,13,0.688,11
NFC,NFC West,7,332,366,24,REG,2017,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,Seahawks,0,9,0.563,9
NFC,NFC West,8,361,295,44,REG,2017,de760528-1dc0-416a-a978-b510d20692ff,Cardinals,0,-12,0.5,8
NFC,NFC West,10,383,331,45,REG,2017,f0e724b0-4cbf-495a-be47-013907608da9,49ers,0,-11,0.375,6
