Conference,Division,Losses,Points_against,Points_for,Points_rank,Season_Type,Season_Year,Team_ID,Team_Name,Ties,Touchdown_diff,Win_pct,Wins
AFC,AFC East,4,315,465,13,REG,2015,97354895-8c77-4fd4-a860-32e62ea7382a,Patriots,0,16,0.75,12
AFC,AFC East,10,389,310,46,REG,2015,4809ecb0-abd3-451d-9c4a-92a90b83ca06,Dolphins,0,-7,0.375,6
AFC,AFC East,6,314,387,20,REG,2015,5fee86ae-74ab-4bdd-8416-42a9dd9964f3,Jets,0,10,0.625,10
AFC,AFC East,8,359,379,27,REG,2015,768c92aa-75ff-4a43-bcc0-f2798c2e1724,Bills,0,3,0.5,8
AFC,AFC North,6,319,423,15,REG,2015,cb2f9f1f-ac67-424e-9e72-1475cb0ed398,Steelers,0,10,0.625,10
AFC,AFC North,13,432,278,59,REG,2015,d5a2eb42-8065-4174-ab79-0a6fa820e35e,Browns,0,-21,0.188,3
AFC,AFC North,4,279,419,9,REG,2015,ad4ae08f-d808-42d5-a1e6-e9bc4e34d123,Bengals,0,21,0.75,12
AFC,AFC North,11,401,328,49,REG,2015,ebd87119-b331-4469-9ea6-d51fe3ce2f1c,Ravens,0,-12,0.313,5
AFC,AFC South,7,313,339,28,REG,2015,82d2d380-3834-4938-835f-aec541e5ece7,Texans,0,2,0.563,9
AFC,AFC South,13,423,299,55,REG,2015,d26a1ca5-722d-4274-8f97-c92e49c96315,Titans,0,-14,0.188,3
AFC,AFC South,11,448,376,45,REG,2015,f7ddd7fa-0bae-4f90-bc8e-669e4d6cf2de,Jaguars,0,-7,0.313,5
AFC,AFC South,8,408,333,49,REG,2015,82cf9565-6eb9-4f01-bdbd-5aa0d472fcd9,Colts,0,-10,0.5,8
AFC,AFC West,12,398,320,47,REG,2015,9dbb9060-ba0f-4920-829e-16d4d9246b5d,Chargers,0,-9,0.25,4
AFC,AFC West,9,399,359,39,REG,2015,1c1cec48-6352-4556-b789-35304c1a6ae1,Raiders,0,1,0.438,7
AFC,AFC West,4,296,355,23,REG,2015,ce92bd47-93d5-4fe9-ada4-0fc681e6caa0,Broncos,0,6,0.75,12
AFC,AFC West,5,287,405,12,REG,2015,6680d28d-d4d2-49f6-aace-5292d3ec02c2,Chiefs,0,11,0.688,11
NFC,NFC East,7,379,388,27,REG,2015,22052ff7-c065-42ee-bc8f-c4691c50e624,Redskins,0,0,0.563,9
NFC,NFC East,10,442,420,36,REG,2015,04aa1c9d-66da-489d-b16a-1dee3f2eec4d,Giants,0,-3,0.375,6
NFC,NFC East,12,374,275,47,REG,2015,e627eec7-bbae-4fa4-8e73-8e1d6bc5c060,Cowboys,0,-15,0.25,4
NFC,NFC East,9,430,377,41,REG,2015,386bdbf9-9eea-4869-bb9a-274b0bc66e80,Eagles,0,-5,0.438,7
NFC,NFC North,9,400,358,41,REG,2015,c5a59daa-53a7-4de0-851f-fb12be893e9e,Lions,0,-5,0.438,7
NFC,NFC North,10,397,335,43,REG,2015,7b112545-38e6-483c-a55c-96cf6ee49cb8,Bears,0,-13,0.375,6
NFC,NFC North,6,323,368,27,REG,2015,a20471b4-a8d9-40c7-95ad-90cc30e46932,Packers,0,6,0.625,10
NFC,NFC North,5,302,365,21,REG,2015,33405046-04ee-4058-a950-d606f8c30852,Vikings,0,7,0.688,11
NFC,NFC South,10,417,342,46,REG,2015,4254d319-1bc7-4f81-b4ab-b5e6f3402b69,Buccaneers,0,-10,0.375,6
NFC,NFC South,9,476,408,40,REG,2015,0d855753-ea21-4953-89f9-0e20aff9eb73,Saints,0,-8,0.438,7
NFC,NFC South,8,345,339,35,REG,2015,e6aa13a4-0055-48a9-bc41-be28dc106929,Falcons,0,-3,0.5,8
NFC,NFC South,1,308,500,7,REG,2015,f14bf5cc-9a82-4a38-bc15-d39f75ed5314,Panthers,0,24,0.938,15
NFC,NFC West,3,313,489,9,REG,2015,de760528-1dc0-416a-a978-b510d20692ff,Cardinals,0,24,0.813,13
NFC,NFC West,6,277,423,5,REG,2015,3d08af9e-c767-4f88-a7dc-b920c6d2b4a8,Seahawks,0,21,0.625,10
NFC,NFC West,11,387,238,50,REG,2015,f0e724b0-4cbf-495a-be47-013907608da9,49ers,0,-19,0.313,5
NFC,NFC West,9,330,280,42,REG,2015,39f349de-6463-4803-ad70-f1e0f144f5ed,Rams,0,-1,0.438,7
